共 501 张典型数字与模拟电路图
序号    分类                      电路名称                            文件名
387   数字电路-时序逻辑               状态机示例电路                         387_状态机示例电路.png
388   数字电路-时序逻辑               摩尔斯电码发生器                        388_摩尔斯电码发生器.png
389   数字电路-时序逻辑               单稳态触发器                          389_单稳态触发器.png
390   数字电路-时序逻辑               施密特触发整形电路                       390_施密特触发整形电路.png
391   数字电路-时序逻辑               门电路多谐振荡器                        391_门电路多谐振荡器.png
392   数字电路-555定时器             555无稳态多谐振荡器                     392_555无稳态多谐振荡器.png
393   数字电路-555定时器             555占空比可调振荡器                     393_555占空比可调振荡器.png
394   数字电路-555定时器             555无稳态倍频振荡器                     394_555无稳态倍频振荡器.png
395   数字电路-555定时器             555单稳态触发器                       395_555单稳态触发器.png
396   数字电路-555定时器             555可重触发单稳态                      396_555可重触发单稳态.png
397   数字电路-555定时器             555施密特触发器                       397_555施密特触发器.png
398   数字电路-555定时器             555施密特整形电路                      398_555施密特整形电路.png
399   数字电路-555定时器             555脉宽调制器                        399_555脉宽调制器.png
400   数字电路-555定时器             555压控振荡器                        400_555压控振荡器.png
401   数字电路-555定时器             555频率可调振荡器                      401_555频率可调振荡器.png
402   数字电路-555定时器             555双音报警器                        402_555双音报警器.png
403   数字电路-555定时器             555音乐门铃                         403_555音乐门铃.png
404   数字电路-555定时器             555电子门铃                         404_555电子门铃.png
405   数字电路-555定时器             555闪光灯电路                        405_555闪光灯电路.png
406   数字电路-555定时器             555灯闪烁控制                        406_555灯闪烁控制.png
407   数字电路-555定时器             555呼吸灯电路                        407_555呼吸灯电路.png
408   数字电路-555定时器             555触摸开关电路                       408_555触摸开关电路.png
409   数字电路-555定时器             555水位报警器                        409_555水位报警器.png
410   数字电路-555定时器             555红外报警器                        410_555红外报警器.png
411   数字电路-555定时器             555光控报警器                        411_555光控报警器.png
412   数字电路-555定时器             555声控报警器                        412_555声控报警器.png
413   数字电路-555定时器             555温度报警器                        413_555温度报警器.png
414   数字电路-555定时器             555湿敏报警器                        414_555湿敏报警器.png
415   数字电路-555定时器             555电子琴电路                        415_555电子琴电路.png
416   数字电路-555定时器             555变调门铃                         416_555变调门铃.png
417   数字电路-555定时器             555电子蜂鸣器                        417_555电子蜂鸣器.png
418   数字电路-555定时器             555继电器驱动电路                      418_555继电器驱动电路.png
419   数字电路-555定时器             555电动机控制电路                      419_555电动机控制电路.png
420   数字电路-555定时器             555直流电机调速                       420_555直流电机调速.png
421   数字电路-555定时器             555步进电机驱动                       421_555步进电机驱动.png
422   数字电路-555定时器             555数字电压表框图                      422_555数字电压表框图.png
423   数字电路-555定时器             555频率计电路                        423_555频率计电路.png
424   数字电路-555定时器             555秒脉冲发生器                       424_555秒脉冲发生器.png
425   数字电路-555定时器             555时钟信号源                        425_555时钟信号源.png
426   数字电路-555定时器             555光控延时灯                        426_555光控延时灯.png
427   数字电路-数模混合与接口            R-2R梯形DAC电路                     427_R-2R梯形DAC电路.png
428   数字电路-数模混合与接口            权电阻DAC电路                        428_权电阻DAC电路.png
429   数字电路-数模混合与接口            倒T型电阻网络DAC                      429_倒T型电阻网络DAC.png
430   数字电路-数模混合与接口            PWM型DAC电路                       430_PWM型DAC电路.png
431   数字电路-数模混合与接口            双积分型ADC框图                       431_双积分型ADC框图.png
432   数字电路-数模混合与接口            逐次逼近型ADC框图                      432_逐次逼近型ADC框图.png
433   数字电路-数模混合与接口            并行比较型ADC框图                      433_并行比较型ADC框图.png
434   数字电路-数模混合与接口            V/F转换电路                         434_V·F转换电路.png
435   数字电路-数模混合与接口            F/V转换电路                         435_F·V转换电路.png
436   数字电路-数模混合与接口            采样保持电路                          436_采样保持电路.png
437   数字电路-数模混合与接口            模拟开关采样保持                        437_模拟开关采样保持.png
438   数字电路-数模混合与接口            同步采样保持电路                        438_同步采样保持电路.png
439   数字电路-数模混合与接口            多路模拟开关                          439_多路模拟开关.png
440   数字电路-数模混合与接口            多路数据采集系统框图                      440_多路数据采集系统框图.png
441   数字电路-数模混合与接口            遥测数据采集电路                        441_遥测数据采集电路.png
442   数字电路-数模混合与接口            RAM存储器电路                        442_RAM存储器电路.png
443   数字电路-数模混合与接口            ROM只读存储器                        443_ROM只读存储器.png
444   数字电路-数模混合与接口            EPROM存储器                        444_EPROM存储器.png
445   数字电路-数模混合与接口            EEPROM存储器                       445_EEPROM存储器.png
446   数字电路-数模混合与接口            SRAM存储单元                        446_SRAM存储单元.png
447   数字电路-数模混合与接口            DRAM存储单元                        447_DRAM存储单元.png
448   数字电路-数模混合与接口            FIFO缓冲器                         448_FIFO缓冲器.png
449   数字电路-数模混合与接口            RAM读写控制电路                       449_RAM读写控制电路.png
450   数字电路-数模混合与接口            地址译码存储系统                        450_地址译码存储系统.png
451   数字电路-数模混合与接口            存储器扩展电路                         451_存储器扩展电路.png
452   数字电路-数模混合与接口            微处理器总线接口                        452_微处理器总线接口.png
453   数字电路-数模混合与接口            I/O接口电路                         453_I·O接口电路.png
454   数字电路-数模混合与接口            串行接口电路                          454_串行接口电路.png
455   数字电路-数模混合与接口            并行接口电路                          455_并行接口电路.png
456   数字电路-数模混合与接口            LED显示驱动电路                       456_LED显示驱动电路.png
457   数字电路-数模混合与接口            LCD显示接口电路                       457_LCD显示接口电路.png
458   数字电路-数模混合与接口            点阵显示驱动电路                        458_点阵显示驱动电路.png
459   数字电路-数模混合与接口            数码管动态扫描电路                       459_数码管动态扫描电路.png
460   数字电路-数模混合与接口            键盘扫描接口电路                        460_键盘扫描接口电路.png
461   数字电路-数模混合与接口            I²C总线接口电路                       461_I²C总线接口电路.png
462   数字电路-数模混合与接口            SPI总线接口电路                       462_SPI总线接口电路.png
463   数字电路-数模混合与接口            CAN总线接口电路                       463_CAN总线接口电路.png
464   数字电路-数模混合与接口            USB接口电路                         464_USB接口电路.png
465   数字电路-数模混合与接口            RS232接口电路                       465_RS232接口电路.png
466   数字电路-数模混合与接口            电平转换接口电路                        466_电平转换接口电路.png
467   数字电路-数模混合与接口            光耦隔离接口电路                        467_光耦隔离接口电路.png
468   数字电路-数模混合与接口            继电器隔离驱动电路                       468_继电器隔离驱动电路.png
469   数字电路-数模混合与接口            晶振时钟电路                          469_晶振时钟电路.png
470   数字电路-数模混合与接口            RC时钟电路                          470_RC时钟电路.png
471   数字电路-数模混合与接口            数字电源去耦电路                        471_数字电源去耦电路.png
472   数字电路-数模混合与接口            数字地模拟地分离电路                      472_数字地模拟地分离电路.png
473   数字电路-数模混合与接口            RC上电复位电路                        473_RC上电复位电路.png
474   数字电路-数模混合与接口            按键复位电路                          474_按键复位电路.png
475   数字电路-数模混合与接口            看门狗复位电路                         475_看门狗复位电路.png
476   数字电路-数模混合与接口            双路电源供电电路                        476_双路电源供电电路.png
477   数字电路-数模混合与接口            数字电路电源电路                        477_数字电路电源电路.png
478   数字电路-数模混合与接口            FPGA开发板电源                       478_FPGA开发板电源.png
479   数字电路-数模混合与接口            电平检测电路                          479_电平检测电路.png
480   数字电路-数模混合与接口            数字输入保护电路                        480_数字输入保护电路.png
481   数字电路-数模混合与接口            施密特输入缓冲电路                       481_施密特输入缓冲电路.png
482   数字电路-数模混合与接口            LED指示灯电路                        482_LED指示灯电路.png
483   数字电路-数模混合与接口            数码管静态显示电路                       483_数码管静态显示电路.png
484   数字电路-数模混合与接口            矩阵键盘电路                          484_矩阵键盘电路.png
485   数字电路-数模混合与接口            独立按键电路                          485_独立按键电路.png
486   数字电路-数模混合与接口            拨码开关电路                          486_拨码开关电路.png
487   数字电路-数模混合与接口            光电编码器接口                         487_光电编码器接口.png
488   数字电路-数模混合与接口            霍尔传感器接口                         488_霍尔传感器接口.png
489   数字电路-数模混合与接口            温度传感器接口                         489_温度传感器接口.png
490   数字电路-数模混合与接口            红外接收电路                          490_红外接收电路.png
491   数字电路-数模混合与接口            红外发射电路                          491_红外发射电路.png
492   数字电路-数模混合与接口            超声波测距电路                         492_超声波测距电路.png
493   数字电路-数模混合与接口            光敏检测电路                          493_光敏检测电路.png
494   数字电路-数模混合与接口            热释电红外检测电路                       494_热释电红外检测电路.png
495   数字电路-数模混合与接口            振动检测电路                          495_振动检测电路.png
496   数字电路-数模混合与接口            磁场检测电路                          496_磁场检测电路.png
497   数字电路-数模混合与接口            电机H桥驱动电路                        497_电机H桥驱动电路.png
498   数字电路-数模混合与接口            舵机控制电路                          498_舵机控制电路.png
499   数字电路-数模混合与接口            直流电机驱动电路                        499_直流电机驱动电路.png
500   数字电路-数模混合与接口            步进电机驱动电路                        500_步进电机驱动电路.png
501   数字电路-数模混合与接口            数字功放电路                          501_数字功放电路.png
